ParticleID,X,Y,Z
490,5.23582e+07,-9.3338e+08,9.92257e+08
491,1.49497e+08,-1.21208e+09,6.97132e+08
492,2.19411e+08,-1.45004e+09,4.76743e+08
493,-4.24899e+07,-1.43001e+09,5.19025e+08
494,-2.66494e+08,-1.62977e+09,1.00089e+08
495,-5.99846e+07,-1.67592e+09,-2.3622e+08
496,-6.83408e+07,-1.40737e+09,-4.72396e+08
497,1.31214e+08,-1.17074e+09,-5.05596e+08
498,3.79803e+08,-1.0291e+09,-7.24563e+08
499,2.39345e+08,-1.20205e+09,-1.15382e+09
500,-4.1721e+06,1.34808e+09,1.11505e+09
501,-1.27281e+08,1.20113e+09,7.11299e+08
502,-2.86639e+07,1.44196e+09,4.91263e+08
503,-4.63493e+07,1.4477e+09,2.48264e+08
504,-2.0206e+08,1.43316e+09,-1.1536e+08
505,-5.50131e+07,1.52232e+09,-1.23341e+08
506,-2.97378e+08,1.01555e+09,-3.72036e+08
507,-1.32832e+08,1.33619e+09,-4.31506e+08
508,-2.23088e+07,1.36351e+09,-8.96731e+08
509,1.12182e+07,1.05426e+09,-9.104e+08
510,-3.41609e+07,8.67974e+08,9.70428e+08
511,6.70636e+07,9.27136e+08,9.02056e+08
512,1.92865e+07,9.48059e+08,6.12432e+08
513,-8.23176e+07,9.98879e+08,3.37298e+08
514,-1.19849e+08,1.00293e+09,6.07735e+07
